customer_id,item_id,event_type,event_value,event_date
C00385,ITEM_010,view,1,2026-03-25
C00260,ITEM_033,view,1,2026-06-08
C00231,ITEM_064,play,3,2026-05-03
C01178,ITEM_047,view,1,2026-04-04
C00123,ITEM_067,play,3,2026-06-06
C00958,ITEM_072,view,1,2026-01-21
C01039,ITEM_058,play,3,2026-06-22
C00037,ITEM_007,play,3,2026-01-23
C00707,ITEM_018,play,3,2026-06-29
C00692,ITEM_026,play,3,2026-05-25
C00430,ITEM_042,view,1,2026-03-29
C00800,ITEM_063,view,1,2026-03-27
C00490,ITEM_077,play,3,2026-01-06
C00527,ITEM_078,view,1,2026-02-27
C00517,ITEM_038,view,1,2026-02-11
C00960,ITEM_079,play,3,2026-05-08
C00759,ITEM_075,view,1,2026-02-05
C00454,ITEM_013,view,1,2026-05-26
C01112,ITEM_054,purchase,5,2026-02-24
C00962,ITEM_035,view,1,2026-06-03
C01119,ITEM_067,view,1,2026-03-06
C00876,ITEM_069,view,1,2026-05-16
C00469,ITEM_015,view,1,2026-05-01
C00927,ITEM_048,play,3,2026-06-28
C00395,ITEM_074,play,3,2026-04-05
C00325,ITEM_053,view,1,2026-03-05
C00541,ITEM_068,view,1,2026-04-27
C01163,ITEM_057,view,1,2026-01-06
C00681,ITEM_062,view,1,2026-06-24
C00460,ITEM_067,play,3,2026-05-03
C00554,ITEM_075,view,1,2026-01-09
C00349,ITEM_015,view,1,2026-02-01
C00790,ITEM_063,play,3,2026-01-03
C00420,ITEM_030,play,3,2026-05-01
C00665,ITEM_046,view,1,2026-04-30
C00443,ITEM_052,play,3,2026-01-30
C00384,ITEM_051,view,1,2026-04-09
C01164,ITEM_015,view,1,2026-03-30
C00414,ITEM_065,view,1,2026-03-28
C00084,ITEM_057,play,3,2026-04-22
C00454,ITEM_059,purchase,5,2026-06-03
C00638,ITEM_049,view,1,2026-06-14
C00113,ITEM_047,view,1,2026-01-29
C00366,ITEM_022,play,3,2026-06-19
C00199,ITEM_047,view,1,2026-04-14
C00600,ITEM_022,view,1,2026-02-02
C00867,ITEM_070,view,1,2026-06-17
C01162,ITEM_004,purchase,5,2026-03-08
C00466,ITEM_000,play,3,2026-03-22
C01035,ITEM_058,purchase,5,2026-06-24
C00257,ITEM_057,view,1,2026-04-15
C00936,ITEM_044,view,1,2026-01-26
C00675,ITEM_045,view,1,2026-01-13
C00909,ITEM_002,view,1,2026-05-28
C00906,ITEM_067,view,1,2026-03-04
C00638,ITEM_067,play,3,2026-01-18
C00308,ITEM_016,play,3,2026-01-08
C00631,ITEM_001,play,3,2026-06-20
C00992,ITEM_042,view,1,2026-04-14
C01164,ITEM_020,view,1,2026-04-05
C01113,ITEM_010,view,1,2026-04-17
C00217,ITEM_009,view,1,2026-03-17
C00716,ITEM_052,view,1,2026-06-21
C00125,ITEM_028,view,1,2026-04-19
C00802,ITEM_061,purchase,5,2026-04-25
C01190,ITEM_025,view,1,2026-06-10
C00063,ITEM_049,view,1,2026-01-01
C00787,ITEM_021,view,1,2026-02-27
C01134,ITEM_044,play,3,2026-05-30
C01016,ITEM_055,view,1,2026-01-18
C00470,ITEM_027,view,1,2026-03-01
C00124,ITEM_071,view,1,2026-01-30
C01108,ITEM_051,view,1,2026-05-09
C01105,ITEM_016,view,1,2026-06-01
C00694,ITEM_071,view,1,2026-02-17
C01174,ITEM_039,view,1,2026-05-04
C00005,ITEM_057,play,3,2026-05-17
C00739,ITEM_027,view,1,2026-06-12
C00046,ITEM_001,view,1,2026-06-16
C01122,ITEM_045,view,1,2026-03-24
C00816,ITEM_040,play,3,2026-01-15
C01096,ITEM_057,view,1,2026-05-14
C00675,ITEM_058,view,1,2026-04-08
C00099,ITEM_055,view,1,2026-03-24
C00031,ITEM_040,purchase,5,2026-04-08
C00402,ITEM_000,view,1,2026-04-26
C00892,ITEM_047,purchase,5,2026-02-21
C00181,ITEM_075,purchase,5,2026-03-01
C01022,ITEM_072,view,1,2026-03-03
C00287,ITEM_006,view,1,2026-03-30
C00595,ITEM_069,view,1,2026-05-02
C00243,ITEM_011,purchase,5,2026-01-08
C00558,ITEM_006,view,1,2026-02-22
C00542,ITEM_002,view,1,2026-05-12
C00006,ITEM_040,view,1,2026-01-06
C00681,ITEM_014,play,3,2026-05-24
C00943,ITEM_049,view,1,2026-05-19
C01123,ITEM_037,view,1,2026-02-27
C00396,ITEM_068,view,1,2026-04-23
C01056,ITEM_016,view,1,2026-03-30
C01054,ITEM_021,play,3,2026-02-15
C01186,ITEM_041,play,3,2026-01-27
C00447,ITEM_011,view,1,2026-06-23
C01021,ITEM_036,view,1,2026-06-04
C00678,ITEM_047,play,3,2026-06-11
C00069,ITEM_049,view,1,2026-01-26
C00324,ITEM_037,view,1,2026-06-23
C00806,ITEM_008,view,1,2026-04-23
C00192,ITEM_020,play,3,2026-04-03
C00521,ITEM_005,purchase,5,2026-03-03
C00929,ITEM_075,play,3,2026-02-12
C00179,ITEM_046,view,1,2026-02-28
C00595,ITEM_025,play,3,2026-02-01
C00257,ITEM_024,view,1,2026-05-23
C00643,ITEM_004,play,3,2026-06-20
C00288,ITEM_037,view,1,2026-06-24
C01158,ITEM_004,view,1,2026-06-10
C00092,ITEM_056,view,1,2026-01-24
C01156,ITEM_016,view,1,2026-05-14
C00950,ITEM_008,view,1,2026-06-04
C01026,ITEM_009,view,1,2026-04-02
C01021,ITEM_002,play,3,2026-04-11
C00225,ITEM_031,play,3,2026-03-11
C01117,ITEM_004,view,1,2026-05-29
C00713,ITEM_006,view,1,2026-05-07
C01154,ITEM_017,view,1,2026-04-24
C01053,ITEM_044,view,1,2026-01-02
C00695,ITEM_017,view,1,2026-06-22
C00449,ITEM_032,play,3,2026-04-05
C00140,ITEM_034,purchase,5,2026-06-22
C00121,ITEM_047,view,1,2026-05-03
C00467,ITEM_003,play,3,2026-04-04
C00973,ITEM_079,play,3,2026-05-16
C00606,ITEM_007,view,1,2026-02-14
C00578,ITEM_079,play,3,2026-03-23
C00293,ITEM_022,view,1,2026-01-05
C00677,ITEM_033,view,1,2026-05-15
C00765,ITEM_005,purchase,5,2026-02-28
C01178,ITEM_029,play,3,2026-01-18
C00875,ITEM_071,view,1,2026-05-24
C00728,ITEM_054,view,1,2026-02-11
C01092,ITEM_049,purchase,5,2026-02-10
C00509,ITEM_029,view,1,2026-01-27
C01121,ITEM_074,purchase,5,2026-04-19
C00443,ITEM_062,play,3,2026-03-03
C00153,ITEM_020,view,1,2026-04-13
C00501,ITEM_048,play,3,2026-03-03
C00154,ITEM_031,play,3,2026-05-16
C00142,ITEM_015,play,3,2026-03-09
C01057,ITEM_052,view,1,2026-05-23
C00953,ITEM_033,view,1,2026-03-25
C00265,ITEM_007,view,1,2026-01-03
C01005,ITEM_069,view,1,2026-03-20
C00082,ITEM_048,play,3,2026-02-14
C00341,ITEM_044,play,3,2026-03-30
C00847,ITEM_079,view,1,2026-01-23
C00364,ITEM_056,view,1,2026-05-16
C00876,ITEM_078,view,1,2026-04-23
C01049,ITEM_056,play,3,2026-01-26
C00079,ITEM_013,view,1,2026-06-26
C00028,ITEM_038,play,3,2026-03-05
C01128,ITEM_040,view,1,2026-02-07
C00624,ITEM_023,view,1,2026-01-01
C00607,ITEM_024,purchase,5,2026-02-14
C00556,ITEM_047,view,1,2026-01-06
C00520,ITEM_032,view,1,2026-03-28
C00828,ITEM_009,play,3,2026-04-20
C00695,ITEM_046,view,1,2026-03-08
C00196,ITEM_047,purchase,5,2026-06-07
C00751,ITEM_065,purchase,5,2026-06-23
C00801,ITEM_008,play,3,2026-02-25
C00136,ITEM_036,view,1,2026-04-25
C00452,ITEM_072,view,1,2026-03-14
C00948,ITEM_021,play,3,2026-02-19
C00742,ITEM_059,view,1,2026-02-07
C00163,ITEM_027,purchase,5,2026-04-04
C00048,ITEM_014,play,3,2026-01-26
C00697,ITEM_056,view,1,2026-05-02
C00554,ITEM_062,view,1,2026-06-09
C01153,ITEM_073,play,3,2026-03-08
C00626,ITEM_058,view,1,2026-04-13
C01117,ITEM_024,view,1,2026-06-25
C00257,ITEM_058,play,3,2026-05-07
C00536,ITEM_002,view,1,2026-03-14
C00167,ITEM_026,view,1,2026-06-08
C00689,ITEM_017,play,3,2026-01-08
C00226,ITEM_041,play,3,2026-04-16
C00590,ITEM_055,view,1,2026-02-15
C00412,ITEM_046,purchase,5,2026-02-02
C00222,ITEM_014,purchase,5,2026-04-04
C00116,ITEM_030,view,1,2026-05-09
C00614,ITEM_007,view,1,2026-05-13
C01136,ITEM_044,play,3,2026-05-15
C00238,ITEM_059,view,1,2026-02-21
C00485,ITEM_019,play,3,2026-03-16
C00269,ITEM_042,view,1,2026-01-21
C00970,ITEM_069,view,1,2026-04-22
C00497,ITEM_009,view,1,2026-05-25
C01169,ITEM_076,view,1,2026-03-29
C00294,ITEM_026,purchase,5,2026-02-26
C00096,ITEM_026,view,1,2026-03-01
C00699,ITEM_057,purchase,5,2026-04-28
C00782,ITEM_027,view,1,2026-05-02
C01188,ITEM_032,play,3,2026-03-27
C01045,ITEM_017,purchase,5,2026-02-14
C01061,ITEM_010,view,1,2026-03-15
C00761,ITEM_069,view,1,2026-02-28
C00431,ITEM_007,play,3,2026-01-18
C00514,ITEM_013,play,3,2026-03-15
C00160,ITEM_065,view,1,2026-06-02
C00517,ITEM_063,view,1,2026-04-21
C00437,ITEM_017,play,3,2026-01-25
C00043,ITEM_066,view,1,2026-06-03
C00245,ITEM_058,play,3,2026-02-08
C00641,ITEM_025,view,1,2026-04-21
C00443,ITEM_006,view,1,2026-04-13
C01192,ITEM_062,play,3,2026-05-11
C00574,ITEM_054,view,1,2026-05-18
C01150,ITEM_036,purchase,5,2026-02-22
C00792,ITEM_021,view,1,2026-05-20
C00048,ITEM_027,view,1,2026-04-16
C00244,ITEM_021,view,1,2026-03-04
C00846,ITEM_071,view,1,2026-01-19
C00654,ITEM_016,play,3,2026-04-13
C00362,ITEM_036,play,3,2026-03-25
C00626,ITEM_051,play,3,2026-03-26
C01083,ITEM_004,view,1,2026-05-05
C00466,ITEM_040,view,1,2026-05-08
C00054,ITEM_050,view,1,2026-02-02
C00373,ITEM_042,play,3,2026-02-23
C01123,ITEM_052,view,1,2026-06-12
C00914,ITEM_039,view,1,2026-04-17
C01004,ITEM_050,view,1,2026-03-17
C01093,ITEM_078,view,1,2026-06-25
C00141,ITEM_028,play,3,2026-05-01
C00339,ITEM_028,view,1,2026-06-02
C00071,ITEM_054,purchase,5,2026-03-26
C00005,ITEM_007,view,1,2026-01-30
C01001,ITEM_023,view,1,2026-05-12
C01124,ITEM_013,view,1,2026-05-27
C00186,ITEM_037,play,3,2026-04-16
C00866,ITEM_009,view,1,2026-03-19
C00641,ITEM_017,view,1,2026-01-23
C00083,ITEM_034,play,3,2026-02-14
C01098,ITEM_049,view,1,2026-06-16
C01045,ITEM_034,view,1,2026-01-31
C00680,ITEM_064,view,1,2026-04-29
C00849,ITEM_063,view,1,2026-04-30
C00476,ITEM_007,play,3,2026-03-26
C00951,ITEM_055,play,3,2026-06-29
C00534,ITEM_002,play,3,2026-05-02
C01187,ITEM_013,play,3,2026-06-24
C00075,ITEM_060,play,3,2026-02-16
C00206,ITEM_046,view,1,2026-05-14
C01162,ITEM_025,view,1,2026-05-19
C00346,ITEM_012,view,1,2026-06-15
C00372,ITEM_025,purchase,5,2026-03-16
C00949,ITEM_062,purchase,5,2026-03-01
C00227,ITEM_045,play,3,2026-05-25
C00616,ITEM_010,view,1,2026-05-10
C00343,ITEM_038,view,1,2026-02-19
C00237,ITEM_016,play,3,2026-02-24
C01157,ITEM_009,view,1,2026-05-23
C00239,ITEM_006,view,1,2026-04-13
C00113,ITEM_060,view,1,2026-06-13
C00808,ITEM_012,view,1,2026-04-24
C01040,ITEM_014,play,3,2026-06-26
C00152,ITEM_069,purchase,5,2026-02-28
C00849,ITEM_066,play,3,2026-05-20
C00648,ITEM_040,view,1,2026-02-04
C00996,ITEM_061,view,1,2026-05-07
C00152,ITEM_001,purchase,5,2026-03-17
C01171,ITEM_013,view,1,2026-04-04
C00742,ITEM_028,view,1,2026-05-26
C01010,ITEM_060,play,3,2026-01-20
C00434,ITEM_007,view,1,2026-02-10
C01132,ITEM_052,view,1,2026-04-11
C00751,ITEM_005,play,3,2026-03-16
C00152,ITEM_078,view,1,2026-04-12
C01107,ITEM_016,view,1,2026-03-19
C00954,ITEM_056,view,1,2026-01-12
C00360,ITEM_049,purchase,5,2026-06-18
C00654,ITEM_031,play,3,2026-05-05
C00465,ITEM_061,play,3,2026-04-20
C00652,ITEM_049,view,1,2026-01-27
C01158,ITEM_036,purchase,5,2026-02-05
C01078,ITEM_052,play,3,2026-04-18
C00258,ITEM_022,view,1,2026-01-10
C01166,ITEM_059,view,1,2026-03-27
C00525,ITEM_056,play,3,2026-06-10
C00845,ITEM_037,play,3,2026-06-07
C00917,ITEM_052,play,3,2026-04-03
C00579,ITEM_066,purchase,5,2026-02-11
C00547,ITEM_051,play,3,2026-01-14
C00547,ITEM_022,view,1,2026-01-31
C01035,ITEM_022,view,1,2026-02-20
C00463,ITEM_077,play,3,2026-04-10
C00335,ITEM_064,view,1,2026-05-11
C00433,ITEM_024,view,1,2026-03-24
C00233,ITEM_057,play,3,2026-05-29
C00469,ITEM_003,view,1,2026-01-30
C00136,ITEM_055,play,3,2026-03-18
C00107,ITEM_016,view,1,2026-04-21
C00868,ITEM_024,view,1,2026-01-10
C00092,ITEM_074,view,1,2026-06-13
C00681,ITEM_011,play,3,2026-06-29
C00935,ITEM_063,play,3,2026-05-14
C00869,ITEM_032,view,1,2026-05-07
C00535,ITEM_035,view,1,2026-02-07
C00232,ITEM_036,view,1,2026-02-02
C01116,ITEM_072,play,3,2026-02-12
C01002,ITEM_040,purchase,5,2026-01-25
C00734,ITEM_019,play,3,2026-04-11
C00104,ITEM_000,view,1,2026-06-22
C00042,ITEM_018,play,3,2026-05-02
C00378,ITEM_012,view,1,2026-06-08
C00189,ITEM_010,view,1,2026-06-26
C01032,ITEM_079,view,1,2026-04-30
C00246,ITEM_035,view,1,2026-01-19
C00339,ITEM_079,view,1,2026-06-17
C01170,ITEM_041,play,3,2026-04-09
C00981,ITEM_017,view,1,2026-04-09
C00262,ITEM_011,play,3,2026-06-27
C00460,ITEM_060,purchase,5,2026-05-04
C00618,ITEM_009,view,1,2026-01-20
C00797,ITEM_004,view,1,2026-05-18
C01123,ITEM_031,play,3,2026-06-25
C01045,ITEM_025,view,1,2026-02-12
C01172,ITEM_018,view,1,2026-03-25
C00048,ITEM_041,view,1,2026-01-19
C00283,ITEM_045,play,3,2026-05-10
C00675,ITEM_034,play,3,2026-01-26
C00058,ITEM_041,play,3,2026-03-18
C00426,ITEM_053,play,3,2026-04-28
C00184,ITEM_012,view,1,2026-06-01
C01119,ITEM_029,play,3,2026-02-27
C00075,ITEM_001,play,3,2026-06-13
C00178,ITEM_077,view,1,2026-01-05
C00234,ITEM_051,purchase,5,2026-01-30
C00178,ITEM_064,play,3,2026-01-22
C00682,ITEM_061,view,1,2026-05-15
C00437,ITEM_000,view,1,2026-03-07
C01094,ITEM_039,view,1,2026-01-04
C00312,ITEM_069,play,3,2026-05-22
C00644,ITEM_046,view,1,2026-02-19
C00792,ITEM_047,view,1,2026-05-03
C00751,ITEM_076,view,1,2026-04-10
C00955,ITEM_059,play,3,2026-01-21
C00242,ITEM_061,play,3,2026-04-19
C00608,ITEM_063,play,3,2026-06-04
C00960,ITEM_026,view,1,2026-03-07
C01035,ITEM_077,view,1,2026-05-31
C00741,ITEM_068,play,3,2026-02-18
C00782,ITEM_002,view,1,2026-02-20
C01036,ITEM_043,view,1,2026-01-31
C00749,ITEM_019,purchase,5,2026-02-08
C01138,ITEM_041,view,1,2026-02-13
C00153,ITEM_064,play,3,2026-04-27
C00417,ITEM_055,play,3,2026-01-24
C00134,ITEM_063,play,3,2026-04-09
C00108,ITEM_034,view,1,2026-02-17
C00566,ITEM_006,view,1,2026-01-27
C00271,ITEM_070,view,1,2026-05-28
C00488,ITEM_006,view,1,2026-04-08
C00525,ITEM_013,view,1,2026-02-21
C00745,ITEM_057,view,1,2026-04-25
C01134,ITEM_033,play,3,2026-06-13
C01019,ITEM_038,view,1,2026-02-20
C00453,ITEM_005,view,1,2026-02-14
C00390,ITEM_013,view,1,2026-05-03
C00924,ITEM_056,view,1,2026-03-30
C00148,ITEM_045,view,1,2026-05-02
C00648,ITEM_021,view,1,2026-01-31
C00507,ITEM_032,purchase,5,2026-06-17
C00219,ITEM_034,purchase,5,2026-01-04
C00739,ITEM_073,play,3,2026-02-19
C00384,ITEM_070,view,1,2026-04-23
C00222,ITEM_038,play,3,2026-04-04
C00783,ITEM_014,play,3,2026-03-02
C00209,ITEM_045,view,1,2026-06-25
C00807,ITEM_000,view,1,2026-03-04
C00194,ITEM_051,play,3,2026-05-03
C00521,ITEM_046,purchase,5,2026-03-15
C00969,ITEM_071,view,1,2026-03-21
C00274,ITEM_035,view,1,2026-05-20
C00921,ITEM_044,view,1,2026-03-05
C00866,ITEM_004,view,1,2026-03-13
C01083,ITEM_065,play,3,2026-05-21
C00202,ITEM_023,view,1,2026-01-16
C00858,ITEM_060,purchase,5,2026-03-19
C01124,ITEM_019,play,3,2026-02-20
C00915,ITEM_027,view,1,2026-03-28
C00225,ITEM_020,play,3,2026-04-14
C00986,ITEM_071,play,3,2026-03-19
C00128,ITEM_063,view,1,2026-06-28
C00706,ITEM_056,view,1,2026-06-14
C00597,ITEM_024,play,3,2026-01-26
C00637,ITEM_058,view,1,2026-04-26
C00623,ITEM_039,view,1,2026-02-28
C00037,ITEM_057,view,1,2026-05-09
C00609,ITEM_021,view,1,2026-03-29
C01124,ITEM_043,play,3,2026-06-21
C00524,ITEM_076,view,1,2026-06-20
C00332,ITEM_006,play,3,2026-01-11
C01193,ITEM_061,view,1,2026-01-20
C00118,ITEM_055,play,3,2026-01-05
C00583,ITEM_033,view,1,2026-05-23
C00615,ITEM_072,purchase,5,2026-02-11
C00573,ITEM_058,purchase,5,2026-05-11
C01106,ITEM_042,view,1,2026-03-01
C00506,ITEM_025,play,3,2026-02-25
C01167,ITEM_054,view,1,2026-04-19
C00080,ITEM_006,play,3,2026-05-20
C00880,ITEM_020,play,3,2026-04-12
C00711,ITEM_034,view,1,2026-04-14
C00288,ITEM_017,view,1,2026-05-13
C00273,ITEM_045,view,1,2026-01-31
C00863,ITEM_069,play,3,2026-04-17
C00765,ITEM_027,play,3,2026-02-21
C00733,ITEM_032,view,1,2026-01-28
C00061,ITEM_032,view,1,2026-03-01
C00717,ITEM_057,view,1,2026-02-04
C01177,ITEM_057,view,1,2026-02-28
C00020,ITEM_018,view,1,2026-01-05
C00562,ITEM_071,view,1,2026-05-15
C00593,ITEM_051,play,3,2026-03-04
C01076,ITEM_071,view,1,2026-04-29
C00339,ITEM_070,play,3,2026-05-15
C00570,ITEM_046,view,1,2026-05-28
C00860,ITEM_056,view,1,2026-01-15
C00072,ITEM_050,play,3,2026-04-02
C00961,ITEM_048,view,1,2026-03-17
C00986,ITEM_042,view,1,2026-03-05
C00863,ITEM_018,purchase,5,2026-05-26
C00777,ITEM_029,play,3,2026-01-13
C00897,ITEM_056,play,3,2026-02-25
C00938,ITEM_059,view,1,2026-05-23
C01084,ITEM_037,view,1,2026-03-13
C00513,ITEM_008,view,1,2026-01-14
C00547,ITEM_010,purchase,5,2026-02-01
C00765,ITEM_071,play,3,2026-02-24
C00231,ITEM_010,view,1,2026-02-14
C01027,ITEM_022,purchase,5,2026-05-01
C00924,ITEM_005,view,1,2026-01-31
C00757,ITEM_017,view,1,2026-05-18
C00361,ITEM_067,view,1,2026-02-26
C00417,ITEM_021,view,1,2026-01-13
C00521,ITEM_066,purchase,5,2026-01-03
C00795,ITEM_064,play,3,2026-04-20
C00933,ITEM_056,view,1,2026-05-13
C00806,ITEM_021,view,1,2026-01-25
C01115,ITEM_079,view,1,2026-02-25
C01152,ITEM_048,view,1,2026-05-17
C00845,ITEM_061,view,1,2026-06-06
C00445,ITEM_027,view,1,2026-05-12
C00718,ITEM_053,view,1,2026-04-22
C00510,ITEM_052,view,1,2026-05-15
C00754,ITEM_047,view,1,2026-02-23
C00974,ITEM_047,purchase,5,2026-01-12
C00443,ITEM_056,view,1,2026-04-12
C00606,ITEM_079,view,1,2026-04-11
C00054,ITEM_069,view,1,2026-05-25
C00883,ITEM_024,play,3,2026-02-13
C00587,ITEM_071,view,1,2026-06-10
C00551,ITEM_027,view,1,2026-03-31
C00638,ITEM_019,play,3,2026-03-21
C00258,ITEM_015,play,3,2026-06-28
C00717,ITEM_056,view,1,2026-04-08
C00894,ITEM_037,view,1,2026-01-17
C00419,ITEM_066,purchase,5,2026-02-15
C00157,ITEM_066,view,1,2026-04-17
C00464,ITEM_043,view,1,2026-02-11
C00238,ITEM_016,view,1,2026-01-30
C00448,ITEM_008,view,1,2026-02-23
C00752,ITEM_076,play,3,2026-04-02
C00136,ITEM_024,play,3,2026-01-17
C00896,ITEM_001,view,1,2026-04-04
