customer_id,segment,treatment,converted
C00546,engaged,1,0
C00547,new,1,0
C00548,at_risk,1,0
C00549,engaged,1,0
C00550,engaged,1,0
C00551,new,0,0
C00552,new,0,0
C00553,premium,1,1
C00554,new,0,0
C00555,new,1,0
C00556,engaged,1,0
C00557,engaged,0,0
C00558,engaged,1,0
C00559,engaged,0,1
C00560,new,1,0
C00561,new,1,0
C00562,at_risk,1,0
C00563,engaged,1,0
C00564,engaged,1,0
C00565,at_risk,1,0
C00566,at_risk,1,0
C00567,new,1,1
C00568,engaged,1,0
C00569,engaged,0,1
C00570,engaged,0,0
C00571,at_risk,0,0
C00572,engaged,0,1
C00573,at_risk,0,0
C00574,premium,0,0
C00575,engaged,0,0
C00576,premium,1,1
C00577,engaged,1,0
C00578,premium,1,0
C00579,engaged,0,0
C00580,engaged,1,1
C00581,engaged,0,0
C00582,new,1,0
C00583,engaged,1,0
C00584,premium,0,0
C00585,engaged,1,0
C00586,new,1,1
C00587,engaged,0,1
C00588,new,1,1
C00589,new,0,0
C00590,premium,0,0
C00591,engaged,0,0
C00592,engaged,1,0
C00593,engaged,1,1
C00594,new,1,0
C00595,engaged,1,1
C00596,at_risk,0,0
C00597,engaged,1,0
C00598,premium,0,0
C00599,engaged,0,1
C00600,engaged,1,0
C00601,at_risk,1,1
C00602,premium,0,0
C00603,at_risk,0,0
C00604,premium,1,0
C00605,at_risk,1,0
C00606,premium,1,1
C00607,new,0,0
C00608,at_risk,0,0
C00609,engaged,0,0
C00610,engaged,0,0
C00611,at_risk,0,0
C00612,premium,0,0
C00613,premium,1,1
C00614,engaged,0,0
C00615,at_risk,0,0
C00616,at_risk,1,0
C00617,engaged,0,1
C00618,new,0,0
C00619,new,1,0
C00620,at_risk,0,0
C00621,engaged,0,0
C00622,premium,1,0
C00623,engaged,0,0
C00624,premium,0,1
C00625,engaged,0,0
C00626,at_risk,1,1
C00627,new,0,0
C00628,engaged,0,0
C00629,at_risk,1,0
C00630,premium,0,1
C00631,at_risk,0,0
C00632,new,0,0
C00633,engaged,0,1
C00634,new,1,0
C00635,new,1,0
C00636,at_risk,1,0
C00637,at_risk,0,0
C00638,at_risk,1,0
C00639,premium,1,0
C00640,at_risk,0,0
C00641,at_risk,1,0
C00642,new,0,0
C00643,new,0,0
C00644,engaged,1,1
C00645,premium,1,0
C00646,new,1,0
C00647,engaged,1,1
C00648,at_risk,0,0
C00649,new,0,0
C00650,engaged,1,0
C00651,premium,0,1
C00652,at_risk,1,0
C00653,new,0,0
C00654,premium,1,0
C00655,engaged,0,0
C00656,premium,1,0
C00657,engaged,0,0
C00658,engaged,1,0
C00659,engaged,0,1
C00660,engaged,1,1
C00661,premium,1,0
C00662,new,1,0
C00663,new,0,0
C00664,engaged,0,0
C00665,at_risk,1,0
C00666,at_risk,0,1
C00667,premium,0,0
C00668,engaged,1,0
C00669,engaged,1,1
C00670,new,0,0
C00671,engaged,1,0
C00672,premium,0,1
C00673,at_risk,0,0
C00674,engaged,1,0
C00675,engaged,0,1
C00676,premium,1,0
C00677,engaged,0,0
C00678,new,0,0
C00679,engaged,0,0
C00680,new,0,0
C00681,new,0,1
C00682,new,1,1
C00683,engaged,1,0
C00684,engaged,1,1
C00685,engaged,1,0
C00686,engaged,1,0
C00687,premium,0,0
C00688,at_risk,0,0
C00689,engaged,1,0
C00690,engaged,1,1
C00691,premium,1,1
C00692,new,1,0
C00693,engaged,0,1
C00694,premium,1,0
C00695,engaged,1,0
C00696,at_risk,1,0
C00697,engaged,0,1
C00698,at_risk,1,0
C00699,engaged,1,1
C00700,new,0,0
C00701,engaged,1,1
C00702,new,0,0
C00703,premium,0,0
C00704,engaged,0,0
C00705,engaged,0,0
C00706,at_risk,0,0
C00707,at_risk,1,0
C00708,engaged,0,0
C00709,engaged,0,0
C00710,premium,0,0
C00711,at_risk,1,1
C00712,at_risk,1,0
C00713,premium,1,0
C00714,at_risk,0,0
C00715,new,0,0
C00716,engaged,1,0
C00717,new,0,0
C00718,at_risk,1,1
C00719,premium,1,1
C00720,engaged,0,0
C00721,engaged,1,1
C00722,new,0,1
C00723,premium,1,1
C00724,new,0,0
C00725,new,0,0
C00726,new,1,0
C00727,new,1,0
C00728,engaged,0,0
C00729,engaged,0,1
C00730,engaged,1,1
C00731,new,0,0
C00732,new,1,0
C00733,engaged,0,0
C00734,new,1,0
C00735,at_risk,1,0
C00736,new,1,0
C00737,engaged,1,1
C00738,engaged,0,1
C00739,engaged,1,0
C00740,new,1,0
C00741,new,1,1
C00742,premium,1,0
C00743,new,0,0
C00744,engaged,1,0
C00745,engaged,1,1
C00746,engaged,1,0
C00747,engaged,1,1
C00748,at_risk,1,0
C00749,at_risk,1,0
C00750,engaged,0,0
C00751,engaged,1,0
C00752,new,1,1
C00753,engaged,0,0
C00754,at_risk,0,0
C00755,new,0,0
C00756,engaged,1,0
C00757,premium,1,0
C00758,new,1,0
C00759,engaged,0,1
C00760,at_risk,1,0
C00761,new,0,0
C00762,new,1,1
C00763,new,1,1
C00764,premium,0,1
C00765,new,1,1
C00766,new,1,0
C00767,new,0,0
C00768,new,1,0
C00769,engaged,0,0
C00770,new,1,0
C00771,engaged,0,0
C00772,engaged,1,0
C00773,at_risk,0,0
C00774,new,1,0
C00775,premium,0,1
C00776,engaged,1,0
C00777,new,0,0
C00778,at_risk,1,0
C00779,premium,1,0
C00780,engaged,1,0
C00781,premium,0,1
C00782,engaged,0,1
C00783,engaged,0,0
C00784,premium,0,0
C00785,engaged,1,1
C00786,at_risk,0,0
C00787,engaged,0,0
C00788,at_risk,1,0
C00789,engaged,1,0
C00790,new,0,1
C00791,engaged,0,1
C00792,engaged,0,1
C00793,new,0,0
C00794,new,0,1
C00795,engaged,0,0
C00796,new,0,0
C00797,new,0,0
C00798,at_risk,1,1
C00799,at_risk,0,0
C00800,at_risk,1,0
C00801,engaged,1,0
C00802,premium,0,1
C00803,engaged,1,0
C00804,new,1,0
C00805,new,1,0
C00806,at_risk,1,0
C00807,new,1,0
C00808,engaged,1,1
C00809,premium,0,0
C00810,new,0,0
C00811,new,1,1
C00812,premium,1,0
C00813,engaged,1,0
C00814,new,0,0
C00815,premium,0,1
C00816,premium,0,0
C00817,engaged,1,0
C00818,engaged,0,0
C00819,engaged,1,1
C00820,new,1,0
C00821,engaged,1,0
C00822,engaged,0,0
C00823,at_risk,1,0
C00824,at_risk,0,0
C00825,new,1,0
C00826,engaged,0,0
C00827,new,1,0
C00828,premium,0,0
C00829,engaged,1,0
C00830,engaged,0,0
C00831,engaged,1,1
C00832,engaged,1,0
C00833,at_risk,0,0
C00834,at_risk,1,0
C00835,engaged,1,0
C00836,at_risk,1,0
C00837,premium,1,0
C00838,engaged,1,0
C00839,engaged,0,0
C00840,new,0,0
C00841,at_risk,1,0
C00842,engaged,0,1
C00843,engaged,0,0
C00844,new,1,0
C00845,premium,0,1
C00846,engaged,1,1
C00847,at_risk,1,0
C00848,new,1,0
C00849,premium,1,0
C00850,new,0,0
C00851,new,0,1
C00852,premium,1,1
C00853,premium,1,1
C00854,new,1,0
C00855,engaged,0,0
C00856,at_risk,0,0
C00857,premium,1,0
C00858,engaged,0,1
C00859,engaged,1,0
C00860,at_risk,0,0
C00861,at_risk,1,0
C00862,at_risk,1,0
C00863,engaged,0,1
C00864,new,0,1
C00865,premium,1,0
C00866,premium,1,0
C00867,at_risk,1,0
C00868,new,0,0
C00869,new,0,0
C00870,at_risk,0,0
C00871,new,0,0
C00872,premium,0,0
C00873,engaged,1,1
C00874,at_risk,1,0
C00875,premium,0,1
C00876,engaged,1,1
C00877,engaged,1,0
C00878,engaged,0,1
C00879,engaged,0,0
C00880,engaged,1,0
C00881,engaged,1,0
C00882,premium,0,1
C00883,engaged,0,0
C00884,new,0,0
C00885,engaged,0,0
C00886,engaged,0,0
C00887,new,0,0
C00888,new,1,0
C00889,at_risk,1,0
C00890,engaged,0,0
C00891,premium,1,1
C00892,new,1,0
C00893,new,0,0
C00894,at_risk,0,0
C00895,premium,1,0
C00896,engaged,0,0
C00897,new,0,1
C00898,new,0,0
C00899,engaged,0,0
C00900,engaged,1,0
C00901,engaged,1,0
C00902,new,1,0
C00903,engaged,0,1
C00904,premium,0,1
C00905,at_risk,0,0
C00906,engaged,0,0
C00907,new,1,0
C00908,engaged,0,0
C00909,engaged,1,1
C00910,at_risk,1,0
C00911,premium,0,1
C00912,premium,0,0
C00913,premium,0,0
C00914,premium,1,0
C00915,premium,1,1
C00916,new,0,0
C00917,new,1,0
C00918,engaged,1,1
C00919,engaged,0,0
C00920,new,0,0
C00921,at_risk,1,0
C00922,engaged,1,0
C00923,engaged,1,0
C00924,new,0,0
C00925,engaged,0,1
C00926,new,1,0
C00927,premium,0,1
C00928,engaged,1,1
C00929,at_risk,1,0
C00930,engaged,0,0
C00931,engaged,0,0
C00932,engaged,0,0
C00933,at_risk,0,1
C00934,at_risk,0,0
C00935,new,1,0
C00936,premium,1,1
C00937,new,1,0
C00938,premium,0,0
C00939,new,1,0
C00940,engaged,1,0
C00941,at_risk,1,0
C00942,new,0,0
C00943,engaged,1,0
C00944,engaged,0,0
C00945,new,1,0
C00946,at_risk,0,0
C00947,premium,1,0
C00948,premium,1,0
C00949,engaged,1,0
C00950,engaged,1,0
C00951,new,0,0
C00952,new,1,0
C00953,new,1,0
C00954,premium,1,0
C00955,premium,1,0
C00956,at_risk,1,0
C00957,engaged,0,1
C00958,engaged,0,1
C00959,engaged,0,0
C00960,engaged,1,0
C00961,engaged,0,1
C00962,new,0,0
C00963,new,0,1
C00964,premium,0,0
C00965,engaged,0,0
C00966,premium,0,0
C00967,new,0,0
C00968,engaged,0,0
C00969,new,0,1
C00970,engaged,1,0
C00971,new,0,0
C00972,new,0,0
C00973,premium,1,0
C00974,engaged,1,1
C00975,engaged,1,0
C00976,engaged,0,0
C00977,engaged,1,0
C00978,engaged,1,0
C00979,new,1,0
C00980,premium,0,0
C00981,at_risk,0,0
C00982,at_risk,1,0
C00983,engaged,1,0
C00984,new,0,0
C00985,premium,1,0
C00986,engaged,1,0
C00987,new,1,0
C00988,engaged,1,0
C00989,at_risk,1,0
C00990,engaged,1,0
C00991,at_risk,0,0
C00992,at_risk,0,0
C00993,new,1,0
C00994,premium,1,0
C00995,engaged,1,1
C00996,engaged,0,0
C00997,new,0,0
C00998,premium,0,0
C00999,engaged,0,0
C01000,new,0,0
C01001,engaged,0,1
C01002,new,1,0
C01003,new,0,0
C01004,engaged,0,1
C01005,engaged,1,0
C01006,premium,1,1
C01007,engaged,1,1
C01008,at_risk,1,0
C01009,engaged,0,1
C01010,at_risk,1,0
C01011,engaged,0,0
C01012,engaged,1,0
C01013,premium,1,1
C01014,engaged,0,0
C01015,new,1,0
C01016,at_risk,1,0
C01017,at_risk,1,0
C01018,new,1,0
C01019,engaged,0,0
C01020,premium,1,0
C01021,at_risk,1,0
C01022,premium,0,1
C01023,engaged,0,0
C01024,at_risk,1,1
C01025,engaged,0,0
C01026,premium,0,0
C01027,engaged,0,0
C01028,at_risk,0,1
C01029,engaged,1,1
C01030,engaged,1,1
C01031,at_risk,1,0
C01032,engaged,0,0
C01033,premium,0,1
C01034,engaged,1,0
C01035,engaged,1,0
C01036,engaged,0,0
C01037,engaged,1,1
C01038,engaged,1,0
C01039,new,0,0
C01040,new,1,0
C01041,at_risk,0,0
C01042,at_risk,1,0
C01043,at_risk,0,0
C01044,new,0,0
C01045,engaged,0,0
C01046,new,0,0
C01047,at_risk,1,0
C01048,premium,0,0
C01049,new,0,0
C01050,at_risk,0,0
C01051,new,0,0
C01052,engaged,0,0
C01053,new,0,0
C01054,engaged,0,0
C01055,at_risk,0,0
C01056,premium,1,0
C01057,new,0,0
C01058,engaged,0,0
C01059,at_risk,1,0
C01060,premium,1,0
C01061,engaged,0,0
C01062,engaged,0,0
C01063,engaged,0,0
C01064,engaged,0,0
C01065,premium,0,1
C01066,engaged,1,0
C01067,at_risk,1,0
C01068,new,1,0
C01069,engaged,1,0
C01070,premium,0,0
C01071,engaged,1,0
C01072,engaged,1,0
C01073,premium,0,1
C01074,premium,1,0
C01075,engaged,1,0
C01076,engaged,1,1
C01077,engaged,1,0
C01078,engaged,1,1
C01079,engaged,0,1
C01080,new,1,1
C01081,premium,1,0
C01082,premium,1,0
C01083,at_risk,1,0
C01084,premium,0,0
C01085,at_risk,1,0
C01086,at_risk,0,0
C01087,at_risk,0,0
C01088,engaged,1,0
C01089,engaged,0,0
C01090,new,0,0
C01091,engaged,1,0
C01092,engaged,0,0
C01093,engaged,0,0
C01094,engaged,0,1
C01095,engaged,0,0
C01096,new,1,0
C01097,at_risk,1,0
C01098,premium,1,1
C01099,new,0,0
C01100,new,1,0
C01101,engaged,0,1
C01102,at_risk,1,0
C01103,at_risk,0,0
C01104,new,1,0
C01105,at_risk,0,0
C01106,new,0,0
C01107,engaged,0,0
C01108,premium,0,1
C01109,new,1,0
C01110,new,0,0
C01111,engaged,1,0
C01112,engaged,0,1
C01113,premium,0,1
C01114,premium,1,1
C01115,new,1,0
C01116,new,1,0
C01117,at_risk,0,0
C01118,engaged,0,0
C01119,premium,0,1
C01120,at_risk,1,0
C01121,new,1,0
C01122,at_risk,1,0
C01123,new,1,0
C01124,engaged,0,0
C01125,engaged,0,0
C01126,engaged,1,0
C01127,at_risk,1,1
C01128,at_risk,0,0
C01129,premium,0,0
C01130,premium,0,1
C01131,engaged,1,0
C01132,new,0,0
C01133,at_risk,1,1
C01134,premium,0,0
C01135,engaged,1,1
C01136,engaged,1,0
C01137,engaged,1,1
C01138,new,1,0
C01139,at_risk,1,0
C01140,engaged,0,0
C01141,at_risk,1,0
C01142,at_risk,1,0
C01143,at_risk,0,0
C01144,engaged,1,0
C01145,engaged,1,0
C01146,at_risk,0,0
C01147,at_risk,1,0
C01148,engaged,0,0
C01149,premium,0,0
C01150,new,1,0
C01151,premium,1,1
C01152,new,1,0
C01153,new,1,0
C01154,engaged,1,0
C01155,new,1,1
C01156,new,0,0
C01157,new,0,0
C01158,engaged,0,0
C01159,at_risk,0,0
C01160,new,1,0
C01161,at_risk,0,0
C01162,at_risk,0,0
C01163,new,0,0
C01164,new,0,1
C01165,premium,0,1
C01166,at_risk,0,0
C01167,engaged,1,0
C01168,at_risk,1,0
C01169,new,0,0
C01170,engaged,1,0
C01171,at_risk,0,0
C01172,engaged,0,0
C01173,at_risk,0,0
C01174,engaged,1,0
C01175,at_risk,0,0
C01176,engaged,0,1
C01177,engaged,1,1
C01178,new,0,0
C01179,new,0,0
C01180,at_risk,0,0
C01181,new,1,1
C01182,new,0,0
C01183,new,1,0
C01184,new,1,0
C01185,at_risk,1,0
C01186,engaged,0,0
C01187,premium,0,1
C01188,new,1,1
C01189,at_risk,1,0
C01190,engaged,1,1
C01191,engaged,1,0
C01192,premium,0,0
C01193,premium,1,1
C01194,premium,1,1
C01195,new,1,0
C01196,new,0,0
C01197,at_risk,1,0
C01198,engaged,1,0
C01199,at_risk,1,1
